protein_clean	class	Protein	comp.logFC	comp.AveExpr	comp.P.Value	comp.adj.P.Val	lgillet_i160308_001	lgillet_i160308_003	lgillet_i160308_010	lgillet_i160308_002	lgillet_i160308_004	lgillet_i160308_011
iRT;	unknown	iRT;	0.163964587159636	18.604761788321	0.334795024139779	0.670968940471237	18.635592942297	18.504284992768	18.4284605491585	18.6532969636211	18.7764360833039	18.6304991987773
sp|A5YKK6|CNOT1_HUMAN;	human	sp|A5YKK6|CNOT1_HUMAN;	0.073784318184343	11.3225318222575	0.678669889652053	0.908295990446268	11.3053574142909	11.3448550103576	11.2067065648476	11.5676815760961	11.3386650815976	11.1719252863554
sp|A6NDG6|PGP_HUMAN;	human	sp|A6NDG6|PGP_HUMAN;	0.006031124523238	11.8171520319362	0.976865493359379	0.992256264944463	11.8928902180519	11.8594667265317	11.6900524644403	11.5955302341385	12.2099263677684	11.6550461806867
sp|A6NHR9|SMHD1_HUMAN;	human	sp|A6NHR9|SMHD1_HUMAN;	0.95645596931142	10.1125441201151	0.000635318031909	0.002925894462213	9.72739285571531	9.80319264154475	9.65929969991161	NA	10.692847883279	10.6799875201249
sp|A6NL28|TPM3L_HUMAN;	human	sp|A6NL28|TPM3L_HUMAN;	0.345339762301243	12.866114773774	0.232730950741604	0.541583894694312	13.1678034694425	12.6076458632851	12.3048853451425	12.9169448583949	13.502020002742	12.6973891036369
sp|A8MWD9|RUXGL_HUMAN;	human	sp|A8MWD9|RUXGL_HUMAN;	0.151960587044501	15.1225403266736	0.416819074423133	0.748428640643161	15.0785821219339	15.0567513793221	15.004346598198	15.2741940213053	15.3958206314456	14.9255472078366
sp|C8Z543|ARO1_YEAS8;	yeast	sp|C8Z543|ARO1_YEAS8;	NA	12.0375169526752	NA	NA	11.4590027424857	12.0572472258314	12.5963008897086	NA	NA	NA
sp|C8Z9Z9|AIM46_YEAS8;	yeast	sp|C8Z9Z9|AIM46_YEAS8;	NA	11.1074554499041	NA	NA	10.7191307214481	11.8940039341242	10.7092316941399	NA	NA	NA
sp|C8ZDR4|HRI1_YEAS8;	yeast	sp|C8ZDR4|HRI1_YEAS8;	NA	11.3154450479358	NA	NA	11.1341650919135	11.8987098865356	10.9134601653582	NA	NA	NA
sp|C8ZFZ7|BLH1_YEAS8;	yeast	sp|C8ZFZ7|BLH1_YEAS8;	NA	12.5462994679826	NA	NA	12.6808536344715	12.4437430369664	12.5143017325099	NA	NA	NA
sp|C8ZG13|PURA_YEAS8;	yeast	sp|C8ZG13|PURA_YEAS8;	NA	11.0055182709682	NA	NA	11.1268408938074	10.9133287296018	10.9763851894952	NA	NA	NA
sp|O00116|ADAS_HUMAN;	human	sp|O00116|ADAS_HUMAN;	0.387193081958591	12.087563147225	0.080954491019494	0.251869918990319	12.145471397551	11.9120655377126	11.6243628834736	12.4594595073696	12.3452771616492	12.0387423955942
sp|O00139|KIF2A_HUMAN;	human	sp|O00139|KIF2A_HUMAN;	0.009327051892528	10.9318839360788	0.96654708832164	0.991403484775106	11.0812888908325	10.7680239980367	10.935146457096	10.7210844881852	NA	11.1538758462433
sp|O00148|DX39A_HUMAN;	human	sp|O00148|DX39A_HUMAN;	0.273229383542818	13.0972781038316	0.131167972788521	0.362237999766709	13.0405681366035	12.8399973670675	13.0014247325095	13.2333602773008	13.3602269183308	13.1080911911772
sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN;	human	sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN;	0.093832475388316	15.9851177832303	0.597530232231455	0.862272274625819	16.0842424333428	15.9020245999128	15.8283376033529	16.2139081723778	15.9557395819064	15.9264543084892
sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN;tr|C8Z6M0|C8Z6M0_YEAS8;	ambiguous	sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN;tr|C8Z6M0|C8Z6M0_YEAS8;	0.754974214076139	14.8001969308322	0.032411739281809	0.11512081996006	14.3229700574638	14.138330851045	15.0333208270964	15.5114134323332	NA	14.9949494862226
sp|O00151|PDLI1_HUMAN;	human	sp|O00151|PDLI1_HUMAN;	0.575279174415685	10.3934042249719	0.077363833761423	0.242872525860055	10.1431774462571	9.87562265895916	10.298493808076	11.1054870281953	9.9529521767828	10.9846922315613
sp|O00154|BACH_HUMAN;	human	sp|O00154|BACH_HUMAN;	0.078752393047616	12.2205187440038	0.708023251574692	0.920041999819605	12.0819792418602	12.1861080477041	12.2753403528755	12.4390542786356	11.8578922526316	12.4827382903155
sp|O00159|MYO1C_HUMAN;	human	sp|O00159|MYO1C_HUMAN;	0.170384172381878	12.1034443886771	0.360408628437838	0.695931899197825	11.961578981285	12.1242195565334	11.9689583696402	12.2560119707843	12.3666746037258	11.943222850094
sp|O00170|AIP_HUMAN;	human	sp|O00170|AIP_HUMAN;	0.602362162429069	11.5346441989685	0.0469422753107	0.159541818665922	11.313143122934	10.7484674228667	11.6387788074612	11.4094345205199	12.0394331663245	12.0586081537048
sp|O00203|AP3B1_HUMAN;	human	sp|O00203|AP3B1_HUMAN;	-0.024162165400114	11.2572809311705	0.945792905260639	0.985470839350401	11.5652464789504	10.9654234936573	NA	NA	11.2411728209038	NA
sp|O00231|PSD11_HUMAN;	human	sp|O00231|PSD11_HUMAN;	0.234469098855802	13.5434535042466	0.261002349943294	0.585270707292197	13.58806376562	13.3546718921884	13.3359212066477	13.7592607202551	13.8968297274244	13.3259737133439
sp|O00232|PSD12_HUMAN;	human	sp|O00232|PSD12_HUMAN;	-0.036112202703524	12.774693722177	0.835145018826752	0.960518296456308	12.9911728582781	12.6521259200276	12.7349506922806	12.7730738760791	12.8071800970713	12.6896588893253
sp|O00273|DFFA_HUMAN;	human	sp|O00273|DFFA_HUMAN;	-0.337213526579937	12.0156302867727	0.369385567794322	0.703621525076197	11.6585845738183	12.611015805522	12.2831107708476	12.1325104527758	12.3894755004218	11.0190846172505
sp|O00299|CLIC1_HUMAN;	human	sp|O00299|CLIC1_HUMAN;	-2.8953782582164E-05	14.6353917977806	0.999872806586474	0.999872806586474	14.8255836257048	14.7000573728024	14.3805778255083	14.5961463656022	14.694567002654	14.6154185944116
sp|O00303|EIF3F_HUMAN;	human	sp|O00303|EIF3F_HUMAN;	-0.017973690449678	13.5204388371473	0.934745462963303	0.984129490986293	13.8865374778103	13.3853798379172	13.3163597313888	13.6390654096	13.6751680087136	13.2201225574537
sp|O00410|IPO5_HUMAN;	human	sp|O00410|IPO5_HUMAN;	0.001783531119052	13.8082917703027	0.992072850399581	0.998227148478982	13.932331218681	13.7861793542681	13.7036894412804	13.954308167762	13.8810411252067	13.5922013146181
sp|O00425|IF2B3_HUMAN;	human	sp|O00425|IF2B3_HUMAN;	0.054503423146942	12.6912313116406	0.758051369783757	0.937655445635946	12.5761579077024	12.8113575037429	12.6044233887561	12.8161102645505	12.8072937264776	12.5320450786141
sp|O00429|DNM1L_HUMAN;	human	sp|O00429|DNM1L_HUMAN;	0.176857651956633	11.2266862341817	0.361745936022055	0.697407180936339	11.3279487948837	11.0230834342074	11.0637399955192	11.4585098642614	11.4254487801153	11.0613865361035
sp|O00483|NDUA4_HUMAN;	human	sp|O00483|NDUA4_HUMAN;	-0.026960926531261	13.6541204385176	0.890363096766735	0.980407501674998	13.7332639786682	13.7331134334796	13.5283370152424	13.6789805678456	13.5969071973521	NA
