protein_clean	class	Protein	comp.logFC	comp.AveExpr	comp.P.Value	comp.adj.P.Val	lgillet_i160308_001	lgillet_i160308_003	lgillet_i160308_010	lgillet_i160308_002	lgillet_i160308_004	lgillet_i160308_011
sp|A0FGR8|ESYT2_HUMAN;	human	1/sp|A0FGR8|ESYT2_HUMAN	0.287035891843539	12.8850446280455	0.267860664458947	0.508967888618705	12.8446800536528	12.759680167211	12.6202198255075	13.501961549804	12.523561956057	13.0601642160409
sp|A6NDG6|PGP_HUMAN;	human	1/sp|A6NDG6|PGP_HUMAN	-0.723792123070195	11.9840496580637	0.002924157465038	0.008688925038969	12.5192144389398	12.337470462991	12.1811522568656	11.7950012281909	11.4409586125926	11.6305009488023
sp|A6NHR9|SMHD1_HUMAN;	human	1/sp|A6NHR9|SMHD1_HUMAN	-0.014081275838423	12.1563232894605	0.949175419297805	0.978315986345351	12.1900044032907	12.2986791844556	12.0014081943928	12.3060616894283	12.4011622207061	11.7406240444894
sp|A6NL28|TPM3L_HUMAN;	human	1/sp|A6NL28|TPM3L_HUMAN	0.141298519383547	16.2413837983553	0.488773817917527	0.741072876866389	16.2644792535984	16.225725073226	16.0219992891661	16.5299532528949	16.3993712076565	16.0067747135896
sp|C8Z430|KRR1_YEAS8;	yeast	1/sp|C8Z430|KRR1_YEAS8	NA	11.6043042990306	NA	NA	11.4907057719863	11.8521393281872	11.4700677969183	NA	NA	NA
sp|C8Z543|ARO1_YEAS8;	yeast	1/sp|C8Z543|ARO1_YEAS8	0.385948010152777	14.9675216095293	0.199921569305188	0.407683200151756	15.065563392462	14.8203987873932	14.7271416411181	15.2569826171439	NA	NA
sp|C8Z6N5|AIM6_YEAS8;	yeast	1/sp|C8Z6N5|AIM6_YEAS8	NA	11.9282472019656	NA	NA	12.3060616894283	12.18982455888	11.2888553575884	NA	NA	NA
sp|C8Z792|AIM9_YEAS8;	yeast	1/sp|C8Z792|AIM9_YEAS8	NA	13.7983666748006	NA	NA	14.0317873415015	13.793813046535	13.5694996363653	NA	NA	NA
sp|C8Z826|SHE10_YEAS8;	yeast	1/sp|C8Z826|SHE10_YEAS8	NA	13.2819465798695	NA	NA	13.0828379883447	12.5586598670265	14.2043418842375	NA	NA	NA
sp|C8Z9U3|CRP1_YEAS8;	yeast	1/sp|C8Z9U3|CRP1_YEAS8	NA	12.4119979867153	NA	NA	12.2497977038798	12.5588834121312	12.427312844135	NA	NA	NA
sp|C8Z9Z9|AIM46_YEAS8;	yeast	1/sp|C8Z9Z9|AIM46_YEAS8	NA	13.4767974598141	NA	NA	13.553269295152	13.7021185616372	13.1750045226532	NA	NA	NA
sp|C8ZBK1|NOP9_YEAS8;	yeast	1/sp|C8ZBK1|NOP9_YEAS8	NA	12.6694769452695	NA	NA	12.7831005531223	12.7216558084692	12.5036744742171	NA	NA	NA
sp|C8ZBM7|AIM24_YEAS8;	yeast	1/sp|C8ZBM7|AIM24_YEAS8	-0.061921353346863	12.7885358587401	0.838078617278871	0.932188309642552	12.8132167915546	NA	12.8051358281568	NA	12.7472549565088	NA
sp|C8ZCI0|FCJ1_YEAS8;	yeast	1/sp|C8ZCI0|FCJ1_YEAS8	1.84681654909605	12.4740212328296	5.69979117849883E-05	0.000196501088143	12.1478239399126	11.3454052467178	11.1586096882145	13.7385145324293	13.3996784691529	13.0540955205507
sp|C8ZDR4|HRI1_YEAS8;	yeast	1/sp|C8ZDR4|HRI1_YEAS8	NA	14.0690887928641	NA	NA	14.3069161135225	14.1441066993574	13.7562435657123	NA	NA	NA
